player,position,team,age,games played,minutes per game,% of game,% of team plays,turnover per possession,attempted free throws,free throw %,2-point shots attempted,2-point field goal %,3-point shots attempted,3-point shot field goal %,true shooting %,points per game,rebounds per game,total rebound %,assists per game,assist %,steals per game,blocks per game,versatility index
Aaron Brooks,point guard,Chi,30,12,11,23,25.1,0.123,7,0.571,35,0.371,26,0.308,0.421,4.5,1.5,7.5,0.9,14.8,0.25,0.08,6.6
Al Horford,center,Atl,28,16,32.6,67.9,21.4,0.102,20,0.75,202,0.52,9,0.222,0.525,14.4,8.6,14.2,3.7,20.4,0.81,1.44,9.5
Alan Anderson,shooting guard,Bro,32,6,23.6,49.3,17.1,0.151,9,0.667,25,0.6,16,0.625,0.734,11,3.5,8,1.2,8.7,0.67,0.17,6.1
Al-Farouq Aminu,small forward,Dal,24,5,30,62.6,12.4,0.132,19,0.789,20,0.5,11,0.636,0.711,11.2,7.2,12.3,1.2,5.3,2,1.6,6.1
Allen Crabbe,shooting guard,Por,22,2,19.3,40.2,7.1,0.167,0,0,3,0.667,2,1,1,5,1.5,4.2,0.5,4.4,1,0.5,3.2
Amar'e Stoudemire,power forward,Dal,32,5,15,31.3,26,0.147,13,0.692,35,0.429,0,0,0.479,7.8,3.2,11,0.6,6,0.2,0.6,6.6
Amir Johnson,power forward,Tor,27,4,27.9,58.1,16.6,0.17,12,0.5,28,0.714,1,0,0.671,11.5,7,14.2,1,6.3,0.25,0.75,6.2
Andre Iguodala,shooting guard,Gol,31,21,30.2,63,15.1,0.066,65,0.415,89,0.584,82,0.354,0.546,10.4,4.5,8.1,3.6,18,1.24,0.33,7.3
Andrew Bogut,center,Gol,30,19,23.1,48.2,10.9,0.244,13,0.385,74,0.568,1,0,0.551,4.7,8.1,19,1.9,11.9,0.58,1.79,7.2
Anthony Davis,power forward,Nor,21,4,42.9,89.3,30.9,0.112,36,0.889,85,0.553,2,0,0.613,31.5,10.8,13.9,2,9.4,1.25,3,8.2
